Dashboard;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2012";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2012";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2012";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2013";"Nederland";"4,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2013";"Nederland";"4,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2013";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2013";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2013";"Nederland";"4,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2013";"Nederland";"4,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2013";"Nederland";"4,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2013";"Nederland";"4,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2013";"Nederland";"4,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2013";"Nederland";"4,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2013";"Nederland";"4,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2013";"Nederland";"4,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2014";"Nederland";"4,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2014";"Nederland";"4,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2014";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2014";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2014";"Nederland";"4,4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2014";"Nederland";"4,4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2014";"Nederland";"4,4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2014";"Nederland";"4,3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2014";"Nederland";"4,3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2014";"Nederland";"4,3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2014";"Nederland";"4,3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2014";"Nederland";"4,2";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2015";"Nederland";"4,3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2015";"Nederland";"4,2";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2015";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2015";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2015";"Nederland";"4,2";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2015";"Nederland";"4,1";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2015";"Nederland";"4,1";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2015";"Nederland";"4,1";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2015";"Nederland";"4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2015";"Nederland";"4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2015";"Nederland";"4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2015";"Nederland";"4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2016";"Nederland";"4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2016";"Nederland";"3,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2016";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2016";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2016";"Nederland";"3,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2016";"Nederland";"3,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2016";"Nederland";"3,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2016";"Nederland";"3,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2016";"Nederland";"3,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2016";"Nederland";"3,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2016";"Nederland";"3,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2016";"Nederland";"3,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2017";"Nederland";"3,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2017";"Nederland";"3,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2017";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2017";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2017";"Nederland";"3,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2017";"Nederland";"3,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2017";"Nederland";"3,4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2017";"Nederland";"3,4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2017";"Nederland";"3,4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2017";"Nederland";"3,4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2017";"Nederland";"3,3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2017";"Nederland";"3,3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2018";"Nederland";"3,3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2018";"Nederland";"3,3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2018";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2018";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2018";"Nederland";"3,2";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2018";"Nederland";"3,2";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2018";"Nederland";"3,2";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2018";"Nederland";"3,2";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2018";"Nederland";"3,2";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2018";"Nederland";"3,1";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2018";"Nederland";"3,1";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2018";"Nederland";"3,1";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2019";"Nederland";"3,1";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2019";"Nederland";"3,1";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2019";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2019";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2019";"Nederland";"3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2019";"Nederland";"3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2019";"Nederland";"3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2019";"Nederland";"3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2019";"Nederland";"3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2019";"Nederland";"2,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2019";"Nederland";"2,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2019";"Nederland";"2,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2020";"Nederland";"2,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2020";"Nederland";"2,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2020";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2020";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2020";"Nederland";"2,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2020";"Nederland";"2,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2020";"Nederland";"2,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2020";"Nederland";"2,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2020";"Nederland";"2,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2020";"Nederland";"2,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2020";"Nederland";"2,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2020";"Nederland";"2,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2021";"Nederland";"2,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2021";"Nederland";"2,6";"ECB, bewerking www.berekenhet.nl";"";
